ipr_accession	category
IPR006582	Other
IPR006583	Other
IPR006584	Other
IPR006585	Other
IPR006586	Other
IPR006588	Other
IPR006590	 
IPR006591	 
IPR006592	 
IPR006593	Other
IPR006594	Other
IPR006595	Other
IPR006597	Other
IPR006598	Other
IPR006599	Other
IPR006600	 
IPR006601	Other
IPR006602	Other
IPR006603	Other
IPR006605	Other
IPR006606	Other
IPR006607	Other
IPR006608	Other
IPR006610	Other
IPR006611	Other
IPR006612	 
IPR006614	Other
IPR006615	Other
IPR006616	Other
IPR006619	Other
IPR006620	Other
IPR006621	Other
IPR006623	Other
IPR006624	Other
IPR006626	Other
IPR006627	 
IPR006628	 
IPR006629	Other
IPR006630	Other
IPR006631	Other
IPR006633	Other
IPR006634	Other
IPR006635	Other
IPR006636	Other
IPR006637	Other
IPR006638	Other
IPR006639	Other
IPR006640	Other
IPR006641	 
IPR006642	 
IPR006643	Other
IPR006644	Other
IPR006645	 
IPR006650	Other
IPR006652	Other
IPR006653	Other
IPR006654	Other
IPR006655	Other
IPR006656	Other
IPR006657	Other
IPR006658	Other
IPR006659	Other
IPR006660	Other
IPR006664	Other
IPR006665	Other
IPR006667	Other
IPR006668	Other
IPR006669	Other
IPR006671	Other
IPR006673	Other
IPR006674	Other
IPR006675	Other
IPR006676	Other
IPR006677	Other
IPR006678	Other
IPR006679	Other
IPR006680	Other
IPR006682	Other
IPR006683	Other
IPR006684	Other
IPR006685	Other
IPR006686	Other
IPR006687	Other
IPR006689	Other
IPR006690	Other
IPR006691	 
IPR006692	Other
IPR006693	Other
IPR006694	Other
IPR006696	Other
IPR006697	Other
IPR006698	Other
IPR006699	 
IPR006700	 
IPR006702	Other
IPR006703	Other
IPR006706	Other
IPR006707	Other
IPR006708	Other
IPR006709	 
IPR006710	Other
IPR006711	 
IPR006712	Other
IPR006713	Other
IPR006714	Other
IPR006715	 
IPR006716	Other
IPR006717	Other
IPR006718	Other
IPR006719	Other
IPR006720	Other
IPR006721	Other
IPR006722	Other
IPR006723	Other
IPR006724	Other
IPR006725	Other
IPR006726	Other
IPR006727	Other
IPR006730	Other
IPR006731	Other
IPR006732	Other
IPR006733	Other
IPR006734	Other
IPR006735	 
IPR006736	Other
IPR006737	Other
IPR006738	Other
IPR006739	Other
IPR006740	Other
IPR006741	Other
IPR006742	 
IPR006743	Other
IPR006744	Other
IPR006746	Other
IPR006747	Other
IPR006748	Other
IPR006749	Other
IPR006750	Other
IPR006751	Other
IPR006752	Other
IPR006753	 
IPR006754	 
IPR006755	Other
IPR006756	Other
IPR006757	Other
IPR006758	 
IPR006759	Other
IPR006760	Other
IPR006761	Other
IPR006762	Other
IPR006763	Other
IPR006765	Other
IPR006767	Other
IPR006768	Other
IPR006769	Other
IPR006770	Other
IPR006771	Other
IPR006772	Other
IPR006773	Other
IPR006774	 
IPR006775	Other
IPR006776	Other
IPR006777	 
IPR006779	 
IPR006780	Other
IPR006781	Other
IPR006782	Other
IPR006783	Other
IPR006784	Other
IPR006785	Other
IPR006786	Other
IPR006787	Other
IPR006788	Other
IPR006789	Other
IPR006790	Other
IPR006791	Other
IPR006792	Other
IPR006793	 
IPR006794	 
IPR006795	Other
IPR006796	Other
IPR006797	Other
IPR006798	Other
IPR006799	Other
IPR006800	Other
IPR006801	Other
IPR006802	Other
IPR006803	Other
IPR006804	Other
IPR006805	Other
IPR006806	Other
IPR006808	Other
IPR006809	Other
IPR006811	Other
IPR006812	Other
IPR006813	Other
IPR006814	Other
IPR006815	 
IPR006816	Other
IPR006817	Other
IPR006818	Other
IPR006819	Other
IPR006820	 
IPR006821	 
IPR006822	Other
IPR006823	Other
IPR006824	 
IPR006825	Other
IPR006827	Other
IPR006828	Other
IPR006829	Other
IPR006830	Other
IPR006833	Other
IPR006834	Other
IPR006835	Other
IPR006836	Other
IPR006837	Other
IPR006838	Other
IPR006839	Other
IPR006840	Other
IPR006841	Other
IPR006842	Other
IPR006843	Other
IPR006844	Other
IPR006845	Other
IPR006846	Other
IPR006847	Other
IPR006848	Other
IPR006849	Other
IPR006850	Other
IPR006851	Other
IPR006852	Other
IPR006853	Other
IPR006854	 
IPR006855	Other
IPR006856	 
IPR006858	 
IPR006859	Other
IPR006860	Other
IPR006861	Other
IPR006862	Other
IPR006864	Other
IPR006865	Other
IPR006866	Other
IPR006867	Other
IPR006868	Other
IPR006869	Other
IPR006870	Other
IPR006871	 
IPR006872	Other
IPR006873	Other
IPR006874	Other
IPR006875	Other
IPR006876	Other
IPR006878	Other
IPR006879	Other
IPR006880	 
IPR006881	Other
IPR006882	Other
IPR006883	Other
IPR006884	Other
IPR006885	Other
IPR006886	 
IPR006887	Other
IPR006888	Other
IPR006889	Other
IPR006890	Other
IPR006891	Other
IPR006892	Other
IPR006893	Other
IPR006894	Other
IPR006895	 
IPR006896	Other
IPR006897	 
IPR006898	 
IPR006899	 
IPR006900	Other
IPR006901	Other
IPR006902	Other
IPR006903	Other
IPR006904	Other
IPR006905	Other
IPR006906	Other
IPR006907	Other
IPR006908	Other
IPR006909	Other
IPR006910	Other
IPR006911	Other
IPR006912	Other
IPR006913	Other
IPR006914	Other
IPR006915	Other
IPR006916	Other
IPR006917	Other
IPR006918	Other
IPR006920	Other
IPR006921	Other
IPR006922	Other
IPR006923	 
IPR006924	Other
IPR006925	Other
IPR006926	Other
IPR006927	Other
IPR006928	Other
IPR006930	Other
IPR006931	Other
IPR006932	 
IPR006933	Other
IPR006934	Other
IPR006935	 
IPR006936	 
IPR006938	Other
IPR006939	Other
IPR006940	 
IPR006941	 
IPR006942	 
IPR006943	Other
IPR006944	 
IPR006946	Other
IPR006947	Other
IPR006948	Other
IPR006949	Other
IPR006950	Other
IPR006951	Other
IPR006952	Other
IPR006953	Other
IPR006954	Other
IPR006955	Other
IPR006956	Other
IPR006957	 
IPR006958	Other
IPR006959	Other
IPR006960	Other
IPR006961	Other
IPR006962	Other
IPR006963	Other
IPR006964	Other
IPR006965	Other
IPR006966	Other
IPR006968	Other
IPR006969	Other
IPR006970	Other
IPR006971	Other
IPR006972	Other
IPR006973	Other
IPR006974	Other
IPR006975	Other
IPR006976	Other
IPR006977	Other
IPR006978	 
IPR006979	 
IPR006980	Other
IPR006982	Other
IPR006983	Other
IPR006984	Other
IPR006985	Other
IPR006986	 
IPR006988	 
IPR006989	 
IPR006990	Other
IPR006993	Other
IPR006994	Other
IPR006995	Other
IPR006997	Other
IPR006998	Other
IPR007000	Other
IPR007001	Other
IPR007003	Other
IPR007004	Other
IPR007005	 
IPR007007	Other
IPR007008	Other
IPR007009	Other
IPR007010	 
IPR007011	Other
IPR007012	 
IPR007013	 
IPR007014	Other
IPR007015	 
IPR007016	Other
IPR007018	 
IPR007019	Other
IPR007020	Other
IPR007021	Other
IPR007023	Other
IPR007024	Other
IPR007025	 
IPR007026	Other
IPR007027	Other
IPR007029	Other
IPR007031	Other
IPR007032	Other
IPR007033	Other
IPR007034	Other
IPR007035	Other
IPR007036	Other
IPR007037	Other
IPR007038	Other
IPR007039	Other
IPR007040	Other
IPR007041	Other
IPR007042	Other
IPR007044	Other
IPR007045	Other
IPR007046	 
IPR007047	Other
IPR007048	Other
IPR007049	Other
IPR007050	 
IPR007051	Other
IPR007052	Other
IPR007053	Other
IPR007054	Other
IPR007055	Other
IPR007059	Other
IPR007060	Other
IPR007061	Other
IPR007062	Other
IPR007064	Other
IPR007065	Other
IPR007066	 
IPR007067	Other
IPR007069	 
IPR007070	Other
IPR007071	 
IPR007072	Other
IPR007073	 
IPR007074	Other
IPR007075	 
IPR007076	 
IPR007077	Other
IPR007078	Other
IPR007079	Other
IPR007080	 
IPR007081	 
IPR007083	 
IPR007084	Other
IPR007085	 
IPR007094	 
IPR007096	 
IPR007097	 
IPR007098	 
IPR007099	 
IPR007100	 
IPR007109	Other
IPR007110	Other
IPR007111	Other
IPR007112	Other
IPR007115	Other
IPR007117	Other
IPR007118	 
IPR007119	Other
IPR007120	 
IPR007121	 
IPR007122	Other
IPR007123	Other
IPR007125	 
IPR007126	Other
IPR007127	 
IPR007128	Other
IPR007129	Other
IPR007130	Other
IPR007131	Other
IPR007132	Other
IPR007133	Other
IPR007134	Other
IPR007135	Other
IPR007136	Other
IPR007137	Other
IPR007138	Other
IPR007139	Other
IPR007140	Other
IPR007142	Other
IPR007143	Other
IPR007144	 
IPR007145	Other
IPR007146	Other
IPR007147	Other
IPR007148	 
IPR007149	Other
IPR007150	 
IPR007152	Other
IPR007153	Other
IPR007154	Other
IPR007156	Other
IPR007157	Other
IPR007158	Other
IPR007159	 
IPR007160	Other
IPR007161	Other
IPR007162	Other
IPR007163	Other
IPR007164	Other
IPR007165	Other
IPR007166	Other
IPR007167	Other
IPR007168	Other
IPR007169	Other
IPR007170	Other
IPR007171	Other
IPR007172	Other
IPR007173	Other
IPR007174	Other
IPR007175	Other
IPR007176	Other
IPR007177	Other
IPR007178	 
IPR007180	Other
IPR007181	Other
IPR007182	Other
IPR007183	Other
IPR007184	Other
IPR007185	 
IPR007187	Other
IPR007188	Other
IPR007191	Other
IPR007192	Other
IPR007193	Other
IPR007194	Other
IPR007195	Other
IPR007196	Other
IPR007197	Other
IPR007198	Other
IPR007199	 
IPR007201	Other
IPR007202	Other
IPR007203	Other
IPR007204	Other
IPR007205	Other
IPR007206	Other
IPR007207	 
IPR007208	Other
IPR007209	Other
IPR007210	Other
IPR007211	Other
IPR007212	Other
IPR007213	Other
IPR007214	Other
IPR007215	Other
IPR007216	Other
IPR007217	Other
IPR007218	 
IPR007219	 
IPR007220	 
IPR007221	Other
IPR007222	Other
IPR007223	Other
IPR007224	 
IPR007225	Other
IPR007226	Other
IPR007227	Other
IPR007228	Other
IPR007229	Other
IPR007230	Other
IPR007231	Other
IPR007232	 
IPR007233	Other
IPR007234	Other
IPR007235	Other
IPR007236	Other
IPR007237	Other
IPR007238	 
IPR007239	Other
IPR007240	Other
IPR007241	Other
IPR007242	Other
IPR007243	Other
IPR007244	Other
IPR007245	Other
IPR007246	Other
IPR007247	Other
IPR007248	Other
IPR007249	Other
IPR007250	Other
IPR007251	Other
IPR007252	Other
IPR007253	Other
IPR007254	Other
IPR007255	Other
IPR007256	Other
IPR007257	 
IPR007258	Other
IPR007259	Other
IPR007260	Other
IPR007262	Other
IPR007263	Other
IPR007264	Other
IPR007265	Other
IPR007266	Other
IPR007267	Other
IPR007268	 
IPR007269	Other
IPR007271	Other
IPR007272	Other
IPR007273	Other
IPR007274	Other
IPR007275	Other
IPR007276	Other
IPR007277	Other
IPR007278	Other
IPR007280	Other
IPR007281	 
IPR007282	 
IPR007284	Other
IPR007287	Other
IPR007288	Other
IPR007289	Other
IPR007290	Other
IPR007291	Other
IPR007292	Other
IPR007293	Other
IPR007294	Other
IPR007295	Other
IPR007296	Other
IPR007298	Other
IPR007300	Other
IPR007301	Other
IPR007302	Other
IPR007303	 
IPR007304	Other
IPR007305	Other
IPR007306	Other
IPR007307	Other
IPR007308	Other
IPR007309	Other
IPR007310	Other
IPR007311	Other
IPR007312	Other
IPR007313	Other
IPR007314	Other
IPR007315	Other
IPR007317	Other
IPR007318	Other
IPR007319	 
IPR007320	Other
IPR007322	 
IPR007324	Other
IPR007325	Other
IPR007326	Other
IPR007327	Other
IPR007328	Other
IPR007329	Other
IPR007330	Other
IPR007331	Other
IPR007332	Other
IPR007334	Other
IPR007335	Other
IPR007336	Other
IPR007337	 
IPR007338	Other
IPR007339	Other
IPR007340	Other
IPR007341	Other
IPR007342	Other
IPR007343	Other
IPR007344	Other
IPR007345	Other
IPR007346	Other
IPR007347	Other
IPR007348	Other
IPR007349	Other
IPR007350	 
IPR007351	 
IPR007352	Other
IPR007353	Other
IPR007354	Other
IPR007355	Other
IPR007356	Other
IPR007357	 
IPR007358	 
IPR007359	Other
IPR007360	Other
IPR007361	Other
IPR007362	Other
IPR007364	Other
IPR007365	Other
IPR007366	Other
IPR007367	Other
IPR007368	Other
IPR007369	Other
IPR007370	Other
IPR007371	Other
IPR007372	Other
IPR007373	Other
IPR007374	Other
IPR007375	Other
IPR007376	 
IPR007378	Other
IPR007379	Other
IPR007380	Other
IPR007381	Other
IPR007382	Other
IPR007383	Other
IPR007384	Other
IPR007385	Other
IPR007386	Other
IPR007387	Other
IPR007390	Other
IPR007391	Other
IPR007392	Other
IPR007393	Other
IPR007394	Other
IPR007395	Other
IPR007396	Other
IPR007397	Other
IPR007398	Other
IPR007400	Other
IPR007401	Other
IPR007402	Other
IPR007403	Other
IPR007404	 
IPR007405	 
IPR007406	 
IPR007407	Other
IPR007408	Other
IPR007409	 
IPR007410	Other
IPR007411	Other
IPR007412	 
IPR007413	Other
IPR007414	Other
IPR007415	Other
IPR007416	Other
IPR007417	Other
IPR007418	Other
IPR007419	Other
IPR007420	Other
IPR007421	 
IPR007422	Other
IPR007423	Other
IPR007427	Other
IPR007428	Other
IPR007429	Other
IPR007430	 
IPR007431	Other
IPR007432	Other
IPR007433	Other
IPR007434	Other
IPR007435	Other
IPR007436	Other
IPR007437	Other
IPR007438	Other
IPR007439	Other
IPR007440	Other
IPR007441	Other
IPR007443	Other
IPR007444	Other
IPR007445	Other
IPR007446	Other
IPR007448	 
IPR007449	Other
IPR007450	Other
IPR007451	Other
IPR007452	Other
IPR007453	Other
IPR007454	Other
IPR007455	Other
IPR007456	Other
IPR007457	 
IPR007458	Other
IPR007459	 
IPR007460	Other
IPR007461	Other
IPR007462	Other
IPR007463	Other
IPR007464	Other
IPR007465	Other
IPR007466	Other
IPR007470	Other
IPR007471	Other
IPR007472	Other
IPR007473	 
IPR007474	Other
IPR007475	Other
IPR007476	 
IPR007477	Other
IPR007479	 
IPR007480	Other
IPR007481	Other
IPR007482	Other
IPR007483	Other
IPR007484	Other
IPR007485	Other
IPR007486	Other
IPR007487	Other
IPR007488	Other
IPR007489	Other
IPR007490	Other
IPR007492	 
IPR007493	Other
IPR007494	 
IPR007495	Other
IPR007497	Other
IPR007498	Other
IPR007499	 
IPR007501	Other
IPR007502	Other
IPR007503	Other
IPR007504	Other
IPR007505	Other
IPR007506	Other
IPR007507	Other
IPR007508	Other
IPR007509	Other
IPR007511	Other
IPR007512	Other
IPR007513	Other
IPR007515	Other
IPR007516	Other
IPR007518	Other
IPR007519	Other
IPR007521	Other
IPR007522	 
IPR007523	Other
IPR007524	Other
IPR007525	Other
IPR007526	Other
IPR007527	 
IPR007528	Other
IPR007529	 
IPR007530	Other
IPR007531	Other
IPR007532	 
IPR007533	Other
IPR007534	Other
IPR007535	Other
IPR007536	Other
IPR007537	Other
IPR007538	Other
IPR007539	 
IPR007540	Other
IPR007541	Other
IPR007542	 
IPR007543	Other
IPR007544	Other
IPR007545	Other
IPR007546	Other
IPR007547	Other
IPR007548	Other
IPR007549	Other
IPR007551	Other
IPR007553	Other
IPR007554	Other
IPR007555	Other
IPR007556	Other
IPR007557	 
IPR007560	 
IPR007561	Other
IPR007562	Other
IPR007563	Other
IPR007564	Other
IPR007565	Other
IPR007566	Other
IPR007567	Other
IPR007568	Other
IPR007569	 
IPR007570	Other
IPR007572	Other
IPR007573	Other
IPR007574	Other
IPR007575	Other
IPR007576	 
IPR007577	Other
IPR007578	 
IPR007579	Other
IPR007580	Other
IPR007581	 
IPR007582	 
IPR007583	Other
IPR007584	Other
IPR007585	Other
IPR007586	 
IPR007587	Other
IPR007588	 
IPR007589	Other
IPR007590	Other
IPR007592	 
IPR007593	Other
IPR007594	Other
IPR007595	Other
IPR007596	Other
IPR007597	Other
IPR007598	Other
IPR007599	Other
IPR007600	Other
IPR007601	Other
IPR007602	Other
IPR007603	Other
IPR007604	Other
IPR007605	Other
IPR007606	Other
IPR007607	Other
IPR007608	Other
IPR007609	Other
IPR007610	 
IPR007611	 
IPR007612	Other
IPR007614	Other
IPR007615	 
IPR007616	Other
IPR007617	Other
IPR007618	Other
IPR007619	 
IPR007620	Other
IPR007621	Other
IPR007622	Other
IPR007623	Other
IPR007624	 
IPR007625	Other
IPR007626	Other
IPR007627	 
IPR007629	Other
IPR007630	 
IPR007631	 
IPR007632	Other
IPR007633	Other
IPR007634	 
IPR007635	Other
IPR007636	 
IPR007637	 
IPR007638	Other
IPR007639	Other
IPR007640	 
IPR007641	 
IPR007642	 
IPR007643	Other
IPR007644	 
IPR007645	 
IPR007646	 
IPR007647	 
IPR007648	Other
IPR007649	Other
IPR007650	Other
IPR007651	Other
IPR007652	Other
IPR007653	Other
IPR007654	Other
IPR007655	Other
IPR007656	Other
IPR007657	Other
IPR007658	Other
IPR007659	Other
IPR007660	Other
IPR007662	Other
IPR007663	Other
IPR007664	Other
IPR007666	Other
IPR007667	Other
IPR007668	 
IPR007669	Other
IPR007670	Other
IPR007671	Other
IPR007672	Other
IPR007673	 
IPR007674	Other
IPR007675	Other
IPR007676	Other
IPR007677	Other
IPR007678	Other
IPR007679	Other
IPR007680	Other
IPR007681	Other
IPR007682	Other
IPR007684	 
IPR007685	Other
IPR007686	Other
IPR007687	Other
IPR007688	 
IPR007689	 
IPR007690	Other
IPR007691	Other
IPR007692	 
IPR007693	 
IPR007694	 
IPR007695	 
IPR007696	 
IPR007698	Other
IPR007699	Other
IPR007700	Other
IPR007701	Other
IPR007702	Other
IPR007703	Other
IPR007704	Other
IPR007705	Other
IPR007706	Other
IPR007707	Other
IPR007708	Other
IPR007709	Other
IPR007710	Other
IPR007711	Other
IPR007712	 
IPR007713	Other
IPR007714	Other
IPR007715	Other
IPR007716	Other
IPR007717	Other
IPR007718	Other
IPR007719	Other
IPR007720	Other
IPR007721	Other
IPR007722	Other
IPR007724	Other
IPR007725	Other
IPR007726	Other
IPR007727	Other
IPR007728	Other
IPR007729	Other
IPR007730	Other
IPR007731	Other
IPR007732	Other
IPR007733	Other
IPR007734	Other
IPR007735	Other
IPR007736	Other
IPR007737	 
IPR007738	 
IPR007739	Other
IPR007740	Other
IPR007741	Other
IPR007742	Other
IPR007743	Other
IPR007745	Other
IPR007746	Other
IPR007747	Other
IPR007748	Other
IPR007749	Other
IPR007750	Other
IPR007751	Other
IPR007752	Other
IPR007753	Other
IPR007754	Other
IPR007755	Other
IPR007756	Other
IPR007757	 
IPR007758	Other
IPR007759	 
IPR007760	Other
IPR007761	Other
IPR007763	Other
IPR007764	Other
IPR007765	Other
IPR007767	Other
IPR007768	Other
IPR007769	Other
IPR007770	Other
IPR007771	Other
IPR007772	Other
IPR007773	Other
IPR007774	Other
IPR007775	Other
IPR007777	Other
IPR007778	 
IPR007779	Other
IPR007780	Other
IPR007781	Other
IPR007782	Other
IPR007783	Other
IPR007784	 
IPR007785	Other
IPR007786	 
IPR007787	Other
IPR007788	Other
IPR007789	Other
IPR007790	 
IPR007791	Other
IPR007792	 
IPR007793	Other
IPR007794	Other
IPR007795	Other
IPR007796	Other
IPR007797	Other
IPR007798	Other
IPR007799	Other
IPR007800	Other
IPR007801	Other
IPR007802	Other
IPR007803	Other
IPR007804	Other
IPR007805	Other
IPR007806	 
IPR007807	Other
IPR007808	Other
IPR007809	Other
IPR007810	Other
IPR007811	 
IPR007812	Other
IPR007813	Other
IPR007814	Other
IPR007815	Other
IPR007816	Other
IPR007817	Other
IPR007818	Other
IPR007820	Other
IPR007822	Other
IPR007823	 
IPR007824	Other
IPR007825	Other
IPR007826	Other
IPR007827	Other
IPR007828	Other
IPR007829	Other
IPR007831	Other
IPR007832	Other
IPR007833	Other
IPR007834	Other
IPR007835	Other
IPR007836	Other
IPR007837	 
IPR007838	Other
IPR007839	Other
IPR007841	Other
IPR007842	Other
IPR007844	Other
IPR007845	Other
IPR007846	Other
IPR007847	 
IPR007848	Other
IPR007849	Other
IPR007850	Other
IPR007852	Other
IPR007853	 
IPR007854	Other
IPR007855	 
IPR007856	Other
IPR007857	Other
IPR007858	Other
IPR007860	 
IPR007861	 
IPR007862	 
IPR007863	Other
IPR007864	Other
IPR007865	Other
IPR007866	Other
IPR007867	Other
IPR007868	 
IPR007869	 
IPR007871	Other
IPR007872	 
IPR007873	Other
IPR007874	Other
IPR007875	Other
IPR007876	Other
IPR007877	Other
IPR007878	Other
IPR007879	Other
IPR007880	Other
IPR007881	Other
IPR007882	Other
IPR007883	Other
IPR007884	Other
IPR007885	Other
IPR007886	Other
IPR007887	Other
IPR007889	 
IPR007890	Other
IPR007891	Other
IPR007892	Other
IPR007893	Other
IPR007894	Other
IPR007895	Other
IPR007896	Other
IPR007897	Other
IPR007898	 
IPR007899	Other
IPR007900	 
IPR007902	Other
IPR007905	Other
IPR007906	Other
IPR007908	Other
IPR007910	Other
IPR007912	Other
IPR007914	Other
IPR007915	Other
IPR007917	Other
IPR007918	Other
IPR007919	Other
IPR007920	Other
IPR007921	Other
IPR007922	Other
IPR007923	Other
IPR007925	 
IPR007926	Other
IPR007927	Other
IPR007928	Other
IPR007929	 
IPR007930	Other
IPR007931	Other
IPR007932	Other
IPR007933	 
IPR007934	Other
IPR007935	Other
IPR007936	Other
IPR007937	 
IPR007938	Other
IPR007939	Other
IPR007940	Other
IPR007941	Other
IPR007942	Other
IPR007943	Other
IPR007944	 
IPR007945	Other
IPR007946	Other
IPR007947	Other
IPR007948	Other
IPR007949	Other
IPR007951	Other
IPR007952	 
IPR007953	Other
IPR007954	Other
IPR007955	Other
IPR007956	Other
IPR007957	Other
IPR007958	Other
IPR007959	Other
IPR007960	Other
IPR007961	Other
IPR007962	Other
IPR007963	Other
IPR007964	Other
IPR007965	Other
IPR007966	Other
IPR007967	Other
IPR007968	Other
IPR007969	Other
IPR007970	Other
IPR007971	Other
IPR007972	Other
IPR007973	 
IPR007974	Other
IPR007975	 
IPR007977	Other
IPR007978	Other
IPR007979	Other
IPR007980	Other
IPR007981	Other
IPR007982	Other
IPR007984	 
IPR007985	Other
IPR007986	Other
IPR007987	Other
IPR007988	Other
IPR007989	Other
IPR007990	Other
IPR007991	 
IPR007992	Other
IPR007995	Other
IPR007996	Other
IPR007998	Other
IPR007999	Other
IPR008000	Other
IPR008001	Other
IPR008002	Other
IPR008003	Other
IPR008004	Other
IPR008005	 
IPR008006	Other
IPR008007	Other
IPR008008	Other
IPR008009	Other
IPR008010	Other
IPR008011	Other
IPR008012	Other
IPR008013	 
IPR008014	Other
IPR008015	Other
IPR008016	 
IPR008017	Other
IPR008018	 
IPR008019	Other
IPR008020	 
IPR008021	Other
IPR008022	Other
IPR008023	Other
IPR008024	Other
IPR008025	Other
IPR008026	Other
IPR008027	Other
IPR008028	Other
IPR008029	 
IPR008030	Other
IPR008031	Other
IPR008032	Other
IPR008034	Other
IPR008035	Other
IPR008036	Other
IPR008037	Other
IPR008040	Other
IPR008041	Other
IPR008042	Other
IPR008043	Other
IPR008044	Other
IPR008045	 
IPR008046	 
IPR008047	 
IPR008048	 
IPR008049	 
IPR008050	 
IPR008051	Other
IPR008052	Other
IPR008053	Other
IPR008054	Other
IPR008055	Other
IPR008056	Other
IPR008057	Other
IPR008058	Other
IPR008059	Other
IPR008060	Other
IPR008061	 
IPR008062	Other
IPR008063	 
IPR008064	Other
IPR008065	Other
IPR008066	Other
IPR008067	Other
IPR008068	Other
IPR008069	Other
IPR008070	Other
IPR008071	Other
IPR008072	Other
IPR008073	Other
IPR008074	Other
IPR008075	Other
IPR008076	 
IPR008077	 
IPR008078	Other
IPR008079	Other
IPR008080	Other
IPR008081	Other
IPR008083	Other
IPR008086	Other
IPR008087	 
IPR008088	 
IPR008090	Other
IPR008092	 
IPR008093	Other
IPR008094	Other
IPR008095	 
IPR008096	Other
IPR008097	Other
IPR008098	 
IPR008099	Other
IPR008100	Other
IPR008101	 
IPR008102	Other
IPR008103	 
IPR008104	Other
IPR008105	Other
IPR008106	Other
IPR008107	Other
IPR008108	Other
IPR008109	Other
IPR008110	Other
IPR008111	Other
IPR008112	Other
IPR008113	Other
IPR008114	Other
IPR008115	Other
IPR008116	 
IPR008117	Other
IPR008118	Other
IPR008119	Other
IPR008120	Other
IPR008121	 
IPR008122	 
IPR008123	 
IPR008124	Other
IPR008125	Other
IPR008126	Other
IPR008127	Other
IPR008128	Other
IPR008129	Other
IPR008130	Other
IPR008131	Other
IPR008132	Other
IPR008133	Other
IPR008134	 
IPR008135	 
IPR008136	Other
IPR008138	Other
IPR008139	Other
IPR008141	Other
IPR008142	Other
IPR008143	Other
IPR008144	Other
IPR008145	Other
IPR008146	Other
IPR008147	Other
IPR008148	 
IPR008150	Other
IPR008152	Other
IPR008153	Other
IPR008154	Other
IPR008155	Other
IPR008156	 
IPR008157	 
IPR008158	Other
IPR008160	Other
IPR008162	Other
IPR008164	Other
IPR008166	Other
IPR008168	Other
IPR008173	Other
IPR008174	Other
IPR008175	Other
IPR008176	Other
IPR008179	Other
IPR008181	Other
IPR008183	Other
IPR008187	Other
IPR008189	Other
IPR008193	 
IPR008195	Other
IPR008197	Other
IPR008200	Other
IPR008201	Other
IPR008203	Other
IPR008205	Other
IPR008207	Other
IPR008209	Other
IPR008210	Other
IPR008211	Other
IPR008213	Other
IPR008215	Other
IPR008216	Other
IPR008217	Other
IPR008218	Other
IPR008219	Other
IPR008220	Other
IPR008221	Other
IPR008223	Other
IPR008225	Other
IPR008226	Other
IPR008228	Other
IPR008229	Other
IPR008231	Other
IPR008238	Other
IPR008240	Other
IPR008241	Other
IPR008242	Other
IPR008243	Other
IPR008244	Other
IPR008248	 
IPR008249	Other
IPR008250	Other
IPR008251	 
IPR008252	Other
IPR008253	Other
IPR008254	Other
IPR008255	Other
IPR008256	Other
IPR008257	Other
IPR008258	Other
IPR008259	Other
IPR008261	Other
IPR008263	Other
IPR008264	Other
IPR008265	Other
IPR008266	Other
IPR008268	Other
IPR008269	Other
IPR008270	Other
IPR008271	Other
IPR008272	Other
IPR008274	Other
IPR008275	Other
IPR008276	Other
IPR008278	Other
IPR008279	Other
IPR008280	Other
IPR008283	Other
IPR008284	Other
IPR008286	Other
IPR008288	 
IPR008289	Other
IPR008290	Other
IPR008291	Other
IPR008292	Other
IPR008294	Other
IPR008296	Other
IPR008297	 
IPR008299	Other
IPR008300	Other
IPR008302	Other
IPR008303	Other
IPR008304	Other
IPR008306	Other
IPR008307	Other
IPR008308	Other
IPR008309	Other
IPR008310	Other
IPR008311	Other
IPR008312	Other
IPR008313	Other
IPR008314	Other
IPR008316	Other
IPR008317	Other
IPR008318	Other
IPR008319	Other
IPR008320	Other
IPR008321	Other
IPR008322	Other
IPR008323	Other
IPR008325	Other
IPR008326	Other
IPR008327	 
IPR008330	Other
IPR008331	 
IPR008332	 
IPR008333	Other
IPR008334	Other
IPR008335	Other
IPR008336	 
IPR008337	Other
IPR008338	Other
IPR008339	Other
IPR008340	Other
IPR008341	Other
IPR008342	Other
IPR008343	Other
IPR008344	Other
IPR008345	Other
IPR008346	Other
IPR008347	Other
IPR008348	Other
IPR008349	Other
IPR008350	Other
IPR008351	 
IPR008352	Other
IPR008353	Other
IPR008354	Other
IPR008355	Other
IPR008356	Other
IPR008357	Other
IPR008358	Other
IPR008359	Other
IPR008361	 
IPR008362	 
IPR008363	Other
IPR008364	Other
IPR008365	 
IPR008366	 
IPR008367	Other
IPR008368	Other
IPR008369	Other
IPR008370	Other
IPR008371	Other
IPR008372	Other
IPR008373	Other
IPR008374	Other
IPR008375	 
IPR008376	Other
IPR008377	Other
IPR008378	Other
IPR008379	Other
IPR008380	Other
IPR008381	Other
IPR008382	Other
IPR008383	 
IPR008384	Other
IPR008385	Other
IPR008386	Other
IPR008387	Other
IPR008388	Other
IPR008389	Other
IPR008390	Other
IPR008391	Other
IPR008392	Other
IPR008393	 
IPR008394	Other
IPR008395	Other
IPR008397	Other
IPR008398	Other
IPR008399	Other
IPR008400	Other
IPR008401	Other
IPR008402	Other
IPR008403	Other
IPR008404	Other
IPR008405	Other
IPR008406	Other
IPR008407	Other
IPR008408	Other
IPR008409	Other
